Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,82233,7913,11403,13275,14237,14785,15072,15210,15349,97582
2,40530,1171,1414,1493,1522,1529,1532,1532,1532,42062
3,347,8,9,9,9,9,9,9,9,356

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,84.27,8.11,11.69,13.60,14.59,15.15,15.45,15.59,15.73,100.00
2,96.36,2.78,3.36,3.55,3.62,3.64,3.64,3.64,3.64,100.00
3,97.47,2.25,2.53,2.53,2.53,2.53,2.53,2.53,2.53,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,58.74,5.65,8.14,9.48,10.17,10.56,10.77,10.86,10.96,69.70
2,28.95,0.84,1.01,1.07,1.09,1.09,1.09,1.09,1.09,30.04
3,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25
