Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,82177,7845,11326,13182,14146,14695,14981,15117,15256,97433
2,40599,1241,1493,1588,1615,1621,1625,1627,1627,42226
3,334,6,7,7,7,7,7,7,7,341
total,123110,9092,12826,14777,15768,16323,16613,16751,16890,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,84.34,8.05,11.62,13.53,14.52,15.08,15.38,15.52,15.66,100.00
2,96.15,2.94,3.54,3.76,3.82,3.84,3.85,3.85,3.85,100.00
3,97.95,1.76,2.05,2.05,2.05,2.05,2.05,2.05,2.05,100.00
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,58.70,5.60,8.09,9.42,10.10,10.50,10.70,10.80,10.90,69.59
2,29.00,0.89,1.07,1.13,1.15,1.16,1.16,1.16,1.16,30.16
3,0.24,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00
