Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,13473,2138,3348,4166,4868,5420,5926,6366,65401,78874
2,24142,3453,5127,6128,6862,7436,7895,8245,13291,37433
3,19915,1813,2484,2788,2995,3135,3246,3326,3778,23693
total,57530,7404,10959,13082,14725,15991,17067,17937,82470,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,17.08,2.71,4.24,5.28,6.17,6.87,7.51,8.07,82.92,100.00
2,64.49,9.22,13.70,16.37,18.33,19.86,21.09,22.03,35.51,100.00
3,84.05,7.65,10.48,11.77,12.64,13.23,13.70,14.04,15.95,100.00
total,41.09,5.29,7.83,9.34,10.52,11.42,12.19,12.81,58.91,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,9.62,1.53,2.39,2.98,3.48,3.87,4.23,4.55,46.72,56.34
2,17.24,2.47,3.66,4.38,4.90,5.31,5.64,5.89,9.49,26.74
3,14.22,1.29,1.77,1.99,2.14,2.24,2.32,2.38,2.70,16.92
total,41.09,5.29,7.83,9.34,10.52,11.42,12.19,12.81,58.91,100.00
