Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,12714,1977,3081,3858,4522,5034,5530,5939,62777,75491
2,25015,3595,5338,6358,7121,7714,8179,8549,15662,40677
3,19801,1832,2540,2866,3082,3243,3358,3449,4031,23832
total,57530,7404,10959,13082,14725,15991,17067,17937,82470,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,16.84,2.62,4.08,5.11,5.99,6.67,7.33,7.87,83.16,100.00
2,61.50,8.84,13.12,15.63,17.51,18.96,20.11,21.02,38.50,100.00
3,83.09,7.69,10.66,12.03,12.93,13.61,14.09,14.47,16.91,100.00
total,41.09,5.29,7.83,9.34,10.52,11.42,12.19,12.81,58.91,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,9.08,1.41,2.20,2.76,3.23,3.60,3.95,4.24,44.84,53.92
2,17.87,2.57,3.81,4.54,5.09,5.51,5.84,6.11,11.19,29.05
3,14.14,1.31,1.81,2.05,2.20,2.32,2.40,2.46,2.88,17.02
total,41.09,5.29,7.83,9.34,10.52,11.42,12.19,12.81,58.91,100.00
