Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,7816,1686,2728,3472,4114,4662,5158,5600,66090,73906
2,17007,2887,4420,5336,6043,6556,6969,7289,10864,27871
3,32707,2831,3811,4274,4568,4773,4940,5048,5516,38223
total,57530,7404,10959,13082,14725,15991,17067,17937,82470,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,10.58,2.28,3.69,4.70,5.57,6.31,6.98,7.58,89.42,100.00
2,61.02,10.36,15.86,19.15,21.68,23.52,25.00,26.15,38.98,100.00
3,85.57,7.41,9.97,11.18,11.95,12.49,12.92,13.21,14.43,100.00
total,41.09,5.29,7.83,9.34,10.52,11.42,12.19,12.81,58.91,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,5.58,1.20,1.95,2.48,2.94,3.33,3.68,4.00,47.21,52.79
2,12.15,2.06,3.16,3.81,4.32,4.68,4.98,5.21,7.76,19.91
3,23.36,2.02,2.72,3.05,3.26,3.41,3.53,3.61,3.94,27.30
total,41.09,5.29,7.83,9.34,10.52,11.42,12.19,12.81,58.91,100.00
