Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,82515,7865,11352,13205,14167,14715,15002,15139,15278,97793
2,40232,1220,1466,1564,1593,1600,1603,1604,1604,41836
3,363,7,8,8,8,8,8,8,8,371
total,123110,9092,12826,14777,15768,16323,16613,16751,16890,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,84.38,8.04,11.61,13.50,14.49,15.05,15.34,15.48,15.62,100.00
2,96.17,2.92,3.50,3.74,3.81,3.82,3.83,3.83,3.83,100.00
3,97.84,1.89,2.16,2.16,2.16,2.16,2.16,2.16,2.16,100.00
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,58.94,5.62,8.11,9.43,10.12,10.51,10.72,10.81,10.91,69.85
2,28.74,0.87,1.05,1.12,1.14,1.14,1.15,1.15,1.15,29.88
3,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00
