Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,82456,7826,11314,13181,14140,14681,14967,15104,15243,97699
2,40266,1260,1505,1589,1621,1635,1639,1640,1640,41906
3,388,6,7,7,7,7,7,7,7,395

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,84.40,8.01,11.58,13.49,14.47,15.03,15.32,15.46,15.60,100.00
2,96.09,3.01,3.59,3.79,3.87,3.90,3.91,3.91,3.91,100.00
3,98.23,1.52,1.77,1.77,1.77,1.77,1.77,1.77,1.77,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,58.90,5.59,8.08,9.41,10.10,10.49,10.69,10.79,10.89,69.78
2,28.76,0.90,1.07,1.14,1.16,1.17,1.17,1.17,1.17,29.93
3,0.28,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28
