Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,81900,7830,11315,13176,14134,14678,14964,15099,15238,97138
2,40885,1255,1503,1593,1626,1637,1641,1644,1644,42529
3,325,7,8,8,8,8,8,8,8,333
total,123110,9092,12826,14777,15768,16323,16613,16751,16890,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,84.31,8.06,11.65,13.56,14.55,15.11,15.40,15.54,15.69,100.00
2,96.13,2.95,3.53,3.75,3.82,3.85,3.86,3.87,3.87,100.00
3,97.60,2.10,2.40,2.40,2.40,2.40,2.40,2.40,2.40,100.00
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,58.50,5.59,8.08,9.41,10.10,10.48,10.69,10.79,10.88,69.38
2,29.20,0.90,1.07,1.14,1.16,1.17,1.17,1.17,1.17,30.38
3,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24
total,87.94,6.49,9.16,10.55,11.26,11.66,11.87,11.96,12.06,100.00
