Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,28893,3611,6506,8907,11173,13204,15124,16887,55857,84750
2,42223,2277,3448,4179,4700,5083,5375,5584,6358,48581
3,6543,102,114,122,124,125,125,125,126,6669

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,34.09,4.26,7.68,10.51,13.18,15.58,17.85,19.93,65.91,100.00
2,86.91,4.69,7.10,8.60,9.67,10.46,11.06,11.49,13.09,100.00
3,98.11,1.53,1.71,1.83,1.86,1.87,1.87,1.87,1.89,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,20.64,2.58,4.65,6.36,7.98,9.43,10.80,12.06,39.90,60.54
2,30.16,1.63,2.46,2.99,3.36,3.63,3.84,3.99,4.54,34.70
3,4.67,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,4.76
