Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,25759,3418,6183,8503,10696,12662,14526,16283,55102,80861
2,42215,2462,3755,4567,5156,5602,5949,6164,7087,49302
3,9685,110,130,138,145,148,149,149,152,9837
total,77659,5990,10068,13208,15997,18412,20624,22596,62341,140000

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,31.86,4.23,7.65,10.52,13.23,15.66,17.96,20.14,68.14,100.00
2,85.63,4.99,7.62,9.26,10.46,11.36,12.07,12.50,14.37,100.00
3,98.45,1.12,1.32,1.40,1.47,1.50,1.51,1.51,1.55,100.00
total,55.47,4.28,7.19,9.43,11.43,13.15,14.73,16.14,44.53,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,18.40,2.44,4.42,6.07,7.64,9.04,10.38,11.63,39.36,57.76
2,30.15,1.76,2.68,3.26,3.68,4.00,4.25,4.40,5.06,35.22
3,6.92,0.08,0.09,0.10,0.10,0.11,0.11,0.11,0.11,7.03
total,55.47,4.28,7.19,9.43,11.43,13.15,14.73,16.14,44.53,100.00
