Counts
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,28897,3590,6491,8903,11134,13180,15111,16882,55900,84797
2,42205,2296,3459,4181,4736,5101,5382,5583,6310,48515
3,6557,104,118,124,127,131,131,131,131,6688

"Row-wise percentage (of sample_type total, %)"
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,34.08,4.23,7.65,10.50,13.13,15.54,17.82,19.91,65.92,100.00
2,86.99,4.73,7.13,8.62,9.76,10.51,11.09,11.51,13.01,100.00
3,98.04,1.56,1.76,1.85,1.90,1.96,1.96,1.96,1.96,100.00

Total percentage (overall % of all samples)
sample_type,# no tied,# tied = 2,# tied <= 3,# tied <= 4,# tied <= 5,# tied <= 6,# tied <= 7,# tied <= 8,# tied <= 9 or more,# no tied & # tied
1,20.64,2.56,4.64,6.36,7.95,9.41,10.79,12.06,39.93,60.57
2,30.15,1.64,2.47,2.99,3.38,3.64,3.84,3.99,4.51,34.65
3,4.68,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,4.78
